id,year,location,estab,formal,service,sector,group,ftstaff05,ftstaff06,ftstaff07,ptstaff05,ptstaff06,ptstaff07,totalstaff05,totalstaff06,totalstaff07,totalstaff08,totalstaff09,totalstaff10,turnover05,turnover06,turnover07,turnover08,turnover09,turnover10,sinfo1,sinfo2,sinfo3,sinfo4,sinfo5,sinfo6,sinfo7,sinfo8,sinfo9,sinfo10,policy_suggestion1,policy_suggestion2,policy_suggestion3,policy_suggestion4,policy_suggestion5,policy_suggestion6,policy_suggestion7,policy_suggestion8,market1,market2,market3,market4,market5,market6,market7,market8
311,2008,No,1980.0,No,manufacturing,basic metals and recycling,No,3.0,3.0,3.0,12.0,12.0,12.0,15.0,15.0,15.0,0.0,0.0,0.0,160000.0,220000.0,250000.0,0.0,0.0,0.0,High,Low,Low,Low,Not used,Low,Low,Not used,Not used,Not used,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,No,No,No,No,No,No,No
312,2008,No,1990.0,NOT SPECIFIED,manufacturing,basic metals and recycling,No,3.0,3.0,3.0,9.0,9.0,9.0,12.0,12.0,12.0,0.0,0.0,0.0,200000.0,240000.0,300000.0,0.0,0.0,0.0,Not used,High,High,Low,Medium,Medium,Low,High,Low,Low,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,No,No,No,No,No,No,No
313,2008,No,0.0,NOT SPECIFIED,manufacturing,basic metals and recycling,No,4.0,4.0,4.0,10.0,10.0,10.0,14.0,14.0,14.0,0.0,0.0,0.0,360000.0,410000.0,600000.0,0.0,0.0,0.0,Not used,High,Medium,Medium,Medium,Medium,Low,Low,Low,Low,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,No,No,No,No,No,No,No
314,2008,No,1980.0,Yes,manufacturing,basic metals and recycling,No,5.0,5.0,5.0,10.0,10.0,10.0,15.0,15.0,15.0,0.0,0.0,0.0,360000.0,470000.0,600000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,No,No,No,No,No,No,No
315,2008,No,1982.0,Yes,manufacturing,basic metals and recycling,No,6.0,5.0,4.0,9.0,7.0,6.0,15.0,12.0,10.0,0.0,0.0,0.0,300000.0,400000.0,600000.0,0.0,0.0,0.0,Not used,Medium,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,No,No,No,No,No,No,No
316,2008,No,0.0,Yes,manufacturing,basic metals and recycling,No,2.0,2.0,2.0,8.0,8.0,8.0,10.0,10.0,10.0,0.0,0.0,0.0,160000.0,200000.0,250000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,No,No,No,No,No,No,No
317,2008,No,0.0,NOT SPECIFIED,manufacturing,basic metals and recycling,No,15.0,15.0,15.0,20.0,20.0,20.0,35.0,35.0,35.0,0.0,0.0,0.0,15000000.0,12000000.0,13000000.0,0.0,0.0,0.0,High,Low,Low,Not used,Low,Low,Not used,Not used,Not used,Not used,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,No,No,No,No,No,No,No
318,2008,No,1970.0,No,manufacturing,food and beverages,No,65.0,60.0,75.0,45.0,35.0,25.0,110.0,95.0,100.0,0.0,0.0,0.0,20000000.0,19000000.0,31000000.0,0.0,0.0,0.0,Not used,Low,Low,Medium,Not used,Not used,Not used,Not used,Not used,Not used,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,Yes,No,No,No,No,No,No
319,2008,No,1989.0,No,manufacturing,basic metals and recycling,No,2.0,2.0,2.0,8.0,8.0,8.0,10.0,10.0,10.0,0.0,0.0,0.0,196000.0,220000.0,310000.0,0.0,0.0,0.0,High,Low,Low,Low,Low,Not used,Not used,Not used,Not used,Not used,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
320,2008,No,1976.0,Yes,manufacturing,food and beverages,No,40.0,47.0,47.0,12.0,10.0,15.0,52.0,57.0,62.0,0.0,0.0,0.0,36000000.0,38000000.0,40000000.0,0.0,0.0,0.0,High,Low,Low,Not used,Low,Not used,Not used,Not used,Not used,Not used,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,No,No,No,No,No,No,No
321,2008,No,1964.0,Yes,manufacturing,food and beverages,Yes,10.0,10.0,10.0,40.0,40.0,40.0,50.0,50.0,50.0,0.0,0.0,0.0,32000000.0,34000000.0,40000000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,Yes,No,No,No,No,No,No
322,2008,No,1996.0,Yes,manufacturing,fabricated metal etc,No,12.0,12.0,12.0,8.0,8.0,8.0,20.0,20.0,20.0,0.0,0.0,0.0,400000.0,610000.0,1000000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,No,No,No,No,No,No,No
323,2008,No,0.0,NOT SPECIFIED,manufacturing,food and beverages,No,40.0,40.0,40.0,15.0,15.0,15.0,55.0,55.0,55.0,0.0,0.0,0.0,52000000.0,60000000.0,62000000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,Yes,No,No,No,No,No,No
324,2008,No,1985.0,Yes,manufacturing,"machinery, equipment and vehicles",No,0.0,0.0,20.0,0.0,0.0,30.0,0.0,0.0,50.0,0.0,0.0,0.0,25000000.0,32000000.0,42000000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,Yes,No,No,No,No,No,No
325,2008,No,0.0,Yes,manufacturing,basic metals and recycling,No,4.0,5.0,4.0,10.0,9.0,6.0,14.0,14.0,10.0,0.0,0.0,0.0,370000.0,600000.0,920000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Special machine and equipment,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
326,2008,No,1962.0,NOT SPECIFIED,manufacturing,furniture,No,156.0,147.0,152.0,0.0,0.0,0.0,156.0,147.0,152.0,0.0,0.0,0.0,85378260.0,195384759.0,36737567.0,0.0,0.0,0.0,Medium,High,Medium,Medium,Low,Not used,Not used,Not used,Not used,Not used,Protection of locally made goods through import restrictions,Protection of locally made goods through import restrictions,Protection of locally made goods through import restrictions,Protection of locally made goods through import restrictions,Protection of locally made goods through import restrictions,Protection of locally made goods through import restrictions,Protection of locally made goods through import restrictions,Protection of locally made goods through import restrictions,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
327,2008,No,0.0,NOT SPECIFIED,manufacturing,textiles and wearing apparel,No,5.0,4.0,7.0,6.0,6.0,5.0,11.0,10.0,12.0,0.0,0.0,0.0,250000.0,200000.0,350000.0,0.0,0.0,0.0,Not used,Low,High,Medium,Not used,Not used,Not used,High,Low,Not used,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
328,2008,No,0.0,Yes,manufacturing,"machinery, equipment and vehicles",No,86.0,82.0,99.0,0.0,0.0,0.0,86.0,82.0,99.0,0.0,0.0,0.0,450000000.0,350000000.0,640000000.0,0.0,0.0,0.0,High,High,High,High,Medium,Not used,Not used,Medium,Medium,High,Govt patronage of our good & services,Govt patronage of our good & services,Govt patronage of our good & services,Govt patronage of our good & services,Govt patronage of our good & services,Govt patronage of our good & services,Govt patronage of our good & services,Govt patronage of our good & services,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
329,2008,No,0.0,NOT SPECIFIED,manufacturing,food and beverages,Yes,150.0,134.0,120.0,0.0,0.0,0.0,150.0,134.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
330,2008,No,1988.0,NOT SPECIFIED,manufacturing,"machinery, equipment and vehicles",Yes,0.0,381.0,399.0,0.0,0.0,0.0,0.0,381.0,399.0,0.0,0.0,0.0,147195000.7,176529000.2,143768000.8,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,By making law to back industrial innovation,By making law to back industrial innovation,By making law to back industrial innovation,By making law to back industrial innovation,By making law to back industrial innovation,By making law to back industrial innovation,By making law to back industrial innovation,By making law to back industrial innovation,NOT SPECIFIED,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,Yes,NOT SPECIFIED,Yes
331,2008,No,1991.0,Yes,manufacturing,food and beverages,Yes,379.0,324.0,278.0,904.0,906.0,1052.0,1283.0,1230.0,1330.0,0.0,0.0,0.0,2347000000.0,2104000000.0,2266000000.0,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
332,2008,No,1986.0,Yes,manufacturing,food and beverages,No,338.0,338.0,315.0,0.0,0.0,0.0,338.0,338.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,Yes,No,No,No,No,No,No
333,2008,No,0.0,NOT SPECIFIED,manufacturing,food and beverages,No,25.0,36.0,12.0,0.0,0.0,0.0,25.0,36.0,12.0,0.0,0.0,0.0,420000.0,530000.0,250000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
334,2008,No,0.0,NOT SPECIFIED,manufacturing,chemicals and chemical products,No,54.0,42.0,22.0,0.0,0.0,0.0,54.0,42.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
335,2008,No,0.0,NOT SPECIFIED,manufacturing,textiles and wearing apparel,No,12.0,14.0,11.0,5.0,3.0,9.0,17.0,17.0,20.0,0.0,0.0,0.0,562000.0,620000.0,730000.0,0.0,0.0,0.0,Low,Not used,Medium,Low,Not used,Not used,Not used,Not used,Low,Low,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
336,2008,No,0.0,NOT SPECIFIED,manufacturing,food and beverages,No,8.0,8.0,8.0,10.0,10.0,12.0,18.0,18.0,20.0,0.0,0.0,0.0,800000.0,1100000.0,1300000.0,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
337,2008,No,2005.0,Yes,manufacturing,food and beverages,No,10.0,10.0,15.0,5.0,4.0,6.0,15.0,14.0,21.0,0.0,0.0,0.0,1000000.0,1300000.0,1550000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,Yes,Yes,No,No,No,No,No
338,2008,No,0.0,Yes,manufacturing,furniture,No,4.0,5.0,6.0,400.0,430.0,445.0,404.0,435.0,451.0,0.0,0.0,0.0,5000000.0,7000000.0,9000000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
339,2008,No,1977.0,Yes,manufacturing,fabricated metal etc,Yes,25.0,29.0,32.0,30.0,30.0,45.0,55.0,59.0,82.0,0.0,0.0,0.0,2160000000.0,2820000000.0,3700000000.0,0.0,0.0,0.0,High,Medium,Medium,Low,Medium,Low,Low,Low,Low,Medium,Provide proper infrastructure / basic amenities,Provide proper infrastructure / basic amenities,Provide proper infrastructure / basic amenities,Provide proper infrastructure / basic amenities,Provide proper infrastructure / basic amenities,Provide proper infrastructure / basic amenities,Provide proper infrastructure / basic amenities,Provide proper infrastructure / basic amenities,Yes,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
340,2008,No,1985.0,Yes,manufacturing,food and beverages,No,20.0,35.0,30.0,0.0,0.0,0.0,20.0,35.0,30.0,0.0,0.0,0.0,600000.0,400000.0,700000.0,0.0,0.0,0.0,High,High,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
341,2008,No,0.0,Yes,manufacturing,food and beverages,No,10.0,15.0,20.0,0.0,0.0,0.0,10.0,15.0,20.0,0.0,0.0,0.0,300000.0,400000.0,250000.0,0.0,0.0,0.0,High,High,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
342,2008,No,1966.0,NOT SPECIFIED,manufacturing,"machinery, equipment and vehicles",No,60.0,53.0,45.0,0.0,0.0,0.0,60.0,53.0,45.0,0.0,0.0,0.0,3200000.0,2400000.0,3100000.0,0.0,0.0,0.0,Not used,Medium,Low,High,Low,Medium,Not used,Low,Low,Not used,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,No,Yes,No,No,No,No,No,No
343,2008,No,0.0,NOT SPECIFIED,manufacturing,"machinery, equipment and vehicles",No,10.0,10.0,10.0,4.0,3.0,6.0,14.0,13.0,16.0,0.0,0.0,0.0,1500000.0,1800000.0,2500000.0,0.0,0.0,0.0,High,Low,Low,Not used,Medium,Medium,Medium,Medium,High,Low,Move informatiion on new technologies,Move informatiion on new technologies,Move informatiion on new technologies,Move informatiion on new technologies,Move informatiion on new technologies,Move informatiion on new technologies,Move informatiion on new technologies,Move informatiion on new technologies,Yes,Yes,Yes,No,No,No,No,No
344,2008,No,0.0,NOT SPECIFIED,manufacturing,fabricated metal etc,No,40.0,50.0,60.0,0.0,0.0,0.0,40.0,50.0,60.0,0.0,0.0,0.0,5000000.0,6000000.0,4500000.0,0.0,0.0,0.0,High,Low,Low,Not used,Medium,Medium,Medium,High,High,Low,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,Yes,Yes,No,No,No,No,No
345,2008,No,1994.0,NOT SPECIFIED,manufacturing,food and beverages,Yes,67.0,70.0,75.0,30.0,25.0,28.0,97.0,95.0,103.0,0.0,0.0,0.0,382158500.0,341490709.0,462039824.0,0.0,0.0,0.0,High,High,High,High,Medium,Low,Low,Medium,Low,Medium,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
346,2008,No,0.0,NOT SPECIFIED,manufacturing,wood and paper products etc,Yes,150.0,175.0,200.0,40.0,25.0,35.0,190.0,200.0,235.0,0.0,0.0,0.0,3000000.0,5000000.0,4800000.0,0.0,0.0,0.0,High,Medium,Medium,Low,Not used,Low,Not used,Low,Low,Medium,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",Yes,No,No,No,No,No,No,NOT SPECIFIED
347,2008,No,1998.0,No,manufacturing,furniture,No,15.0,10.0,12.0,0.0,0.0,0.0,15.0,10.0,12.0,0.0,0.0,0.0,400000.0,300000.0,400000.0,0.0,0.0,0.0,Medium,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,No,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
348,2008,No,1998.0,Yes,manufacturing,fabricated metal etc,Yes,60.0,101.0,195.0,7.0,28.0,50.0,67.0,129.0,245.0,0.0,0.0,0.0,1300000.0,1700000.0,2600000.0,0.0,0.0,0.0,Medium,Medium,Medium,Low,Low,Low,Not used,Low,Medium,Medium,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,Yes,No,No,No,No,No,NOT SPECIFIED
